Year,District,crime_type,Number,,,,,,
2017,Courtesy Reports,LARCENY THEFT,0,,,,,,
2019,all,HOMICIDE,41,,,,,,
2019,all,RAPE,401,,,,,,
2019,all,ROBBERY,"3,101",,,,,,
2019,all,ASSAULT,"2,549",,,,,,
2019,all,HUMAN TRAFFICKING – SEX ACT,51,,,,,,
2019,all,HUMAN TRAFFICKING – INV SERV,1,,,,,,
2019,all,BURGLARY,"4,964",,,,,,
2019,all,MOTOR VEHICLE THEFT,"4,446",,,,,,
2019,all,ARSON,227,,,,,,
2019,all,LARCENY THEFT,"42,043",,,,,,
2018,all,HOMICIDE,46,,,,,,
2018,all,RAPE,449,,,,,,
2018,all,ROBBERY,"3,230",,,,,,
2018,all,ASSAULT,"2,639",,,,,,
2018,all,HUMAN TRAFFICKING – SEX ACT,109,,,,,,
2018,all,HUMAN TRAFFICKING – INV SERV,2,,,,,,
2018,all,BURGLARY,"5,693",,,,,,
2018,all,MOTOR VEHICLE THEFT,"4,367",,,,,,
2018,all,ARSON,249,,,,,,
2018,all,LARCENY THEFT,"42,642",,,,,,
2019,Bayview,HOMICIDE,13,,,,,,
2019,Bayview,RAPE,31,,,,,,
2019,Bayview,ROBBERY,347,,,,,,
2019,Bayview,ASSAULT,353,,,,,,
2019,Bayview,HUMAN TRAFFICKING – SEX ACT,2,,,,,,
2019,Bayview,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2019,Bayview,BURGLARY,439,,,,,,
2019,Bayview,MOTOR VEHICLE THEFT,731,,,,,,
2019,Bayview,ARSON,41,,,,,,
2019,Bayview,LARCENY THEFT,"2,269",,,,,,
2018,Bayview,HOMICIDE,10,,,,,,
2018,Bayview,RAPE,26,,,,,,
2018,Bayview,ROBBERY,339,,,,,,
2018,Bayview,ASSAULT,389,,,,,,
2018,Bayview,HUMAN TRAFFICKING – SEX ACT,1,,,,,,
2018,Bayview,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2018,Bayview,BURGLARY,499,,,,,,
2018,Bayview,MOTOR VEHICLE THEFT,673,,,,,,
2018,Bayview,ARSON,43,,,,,,
2018,Bayview,LARCENY THEFT,"2,229",,,,,,
2019,Central,HOMICIDE,2,,,,,,
2019,Central,RAPE,31,,,,,,
2019,Central,ROBBERY,503,,,,,,
2019,Central,ASSAULT,256,,,,,,
2019,Central,HUMAN TRAFFICKING – SEX ACT,11,,,,,,
2019,Central,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2019,Central,BURGLARY,887,,,,,,
2019,Central,MOTOR VEHICLE THEFT,464,,,,,,
2019,Central,ARSON,39,,,,,,
2019,Central,LARCENY THEFT,"8,933",,,,,,
2018,Central,HOMICIDE,3,,,,,,
2018,Central,RAPE,47,,,,,,
2018,Central,ROBBERY,568,,,,,,
2018,Central,ASSAULT,234,,,,,,
2018,Central,HUMAN TRAFFICKING – SEX ACT,22,,,,,,
2018,Central,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2018,Central,BURGLARY,981,,,,,,
2018,Central,MOTOR VEHICLE THEFT,418,,,,,,
2018,Central,ARSON,24,,,,,,
2018,Central,LARCENY THEFT,"9,697",,,,,,
2019,Ingleside,HOMICIDE,2,,,,,,
2019,Ingleside,RAPE,30,,,,,,
2019,Ingleside,ROBBERY,290,,,,,,
2019,Ingleside,ASSAULT,219,,,,,,
2019,Ingleside,HUMAN TRAFFICKING – SEX ACT,2,,,,,,
2019,Ingleside,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2019,Ingleside,BURGLARY,418,,,,,,
2019,Ingleside,MOTOR VEHICLE THEFT,490,,,,,,
2019,Ingleside,ARSON,15,,,,,,
2019,Ingleside,LARCENY THEFT,"2,026",,,,,,
2018,Ingleside,HOMICIDE,4,,,,,,
2018,Ingleside,RAPE,37,,,,,,
2018,Ingleside,ROBBERY,333,,,,,,
2018,Ingleside,ASSAULT,255,,,,,,
2018,Ingleside,HUMAN TRAFFICKING – SEX ACT,2,,,,,,
2018,Ingleside,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2018,Ingleside,BURGLARY,573,,,,,,
2018,Ingleside,MOTOR VEHICLE THEFT,522,,,,,,
2018,Ingleside,ARSON,29,,,,,,
2018,Ingleside,LARCENY THEFT,"1,767",,,,,,
2019,Mission,HOMICIDE,5,,,,,,
2019,Mission,RAPE,93,,,,,,
2019,Mission,ROBBERY,491,,,,,,
2019,Mission,ASSAULT,468,,,,,,
2019,Mission,HUMAN TRAFFICKING – SEX ACT,22,,,,,,
2019,Mission,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2019,Mission,BURGLARY,485,,,,,,
2019,Mission,MOTOR VEHICLE THEFT,561,,,,,,
2019,Mission,ARSON,31,,,,,,
2019,Mission,LARCENY THEFT,"4,445",,,,,,
2018,Mission,HOMICIDE,10,,,,,,
2018,Mission,RAPE,120,,,,,,
2018,Mission,ROBBERY,470,,,,,,
2018,Mission,ASSAULT,502,,,,,,
2018,Mission,HUMAN TRAFFICKING – SEX ACT,15,,,,,,
2018,Mission,HUMAN TRAFFICKING – INV SERV,0,,,,,,
2018,Mission,BURGLARY,589,,,,,,
2018,Mission,MOTOR VEHICLE THEFT,669,,,,,,
2018,Mission,ARSON,39,,,,,,
2018,Mission,LARCENY THEFT,"5,085",,,,,,
